tablescraper-selected-row href,icon src,name,brief,count
https://lazycat.cloud/appstore/detail/chestnut.app.vdsm,https://dl.lazycat.cloud/appstore/metarepo/apps/chestnut.app.vdsm/icon.png,virtual dsm,Virtual DSM 是一个在Docker 容器中运行虚拟DSM（DiskStation Manager）的项目。,2
https://lazycat.cloud/appstore/detail/wcloud.gblw.app.beenote,https://dl.lazycat.cloud/appstore/metarepo/apps/wcloud.gblw.app.beenote/icon.png,beenote-蜜蜂笔记,beenote笔记是一款用于小型团队笔记或个人笔记的基于vue3 + django rest framework 的markdown笔记软件。,2
https://lazycat.cloud/appstore/detail/chestnut.app.veloren,https://dl.lazycat.cloud/appstore/metarepo/apps/chestnut.app.veloren/icon.png,veloren 多人像素RPG,Veloren （/ v?l??n /， ve-LOR-en， 来自德语/荷兰语 verloren （“迷失”））是一款用 Rust   语言编写的开放世界、开源多人体素角色扮演游戏。,2
https://lazycat.cloud/appstore/detail/white.lazycat.app.pvpgn-starcraft,https://dl.lazycat.cloud/appstore/metarepo/apps/white.lazycat.app.pvpgn-starcraft/icon.png,pvpgn-starcraft,星际争霸1(StarCraft  1) 战网游戏服务器,2
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.fmj,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.fmj/icon.png,伏魔记,步步高电子词典经典游戏 - 伏魔记的H5移植版本,2
https://lazycat.cloud/appstore/detail/peterpig.lzcapp.mylar3,https://dl.lazycat.cloud/appstore/metarepo/apps/peterpig.lzcapp.mylar3/icon.png,mylar3,一个自动化的漫画书下载器,2
https://lazycat.cloud/appstore/detail/com.dkorecko.ticky,https://dl.lazycat.cloud/appstore/metarepo/apps/com.dkorecko.ticky/icon.png,Ticky,现代化Kanban风格任务管理系统，支持项目管理、看板、卡片、时间追踪等功能,2
https://lazycat.cloud/appstore/detail/peterpig.lzcapp.mediaelch,https://dl.lazycat.cloud/appstore/metarepo/apps/peterpig.lzcapp.mediaelch/icon.png,mediaelch,专为kodi设计的nfo文件刮削器,2
https://lazycat.cloud/appstore/detail/com.luck.lazycat.armypg,https://dl.lazycat.cloud/appstore/metarepo/apps/com.luck.lazycat.armypg/icon.png,America's Army Proving Grounds,America's Army Proving Grounds docker服务端,2
https://lazycat.cloud/appstore/detail/chestnut.app.shotcut,https://dl.lazycat.cloud/appstore/metarepo/apps/chestnut.app.shotcut/icon.png,shotcut 跨平台视频编辑器,Shotcut是一款自由开源的跨平台影片剪辑软件，适用于FreeBSD、Linux 、MacOS和Microsoft Windows。,2
https://lazycat.cloud/appstore/detail/peterpig.lzcapp.qdirstat,https://dl.lazycat.cloud/appstore/metarepo/apps/peterpig.lzcapp.qdirstat/icon.png,qdirstat,一款基于 Qt 的目录统计工具,2
https://lazycat.cloud/appstore/detail/ninja.eson.flash-player,https://dl.lazycat.cloud/appstore/metarepo/apps/ninja.eson.flash-player/icon.png,Flash Player,flash player 是一个支持旧时代 adobe flash .swf 文件的放映和游戏工具,2
https://lazycat.cloud/appstore/detail/peterpig.lzcapp.projectsend,https://dl.lazycat.cloud/appstore/metarepo/apps/peterpig.lzcapp.projectsend/icon.png,Project Send,私有文件分发神器,2
https://lazycat.cloud/appstore/detail/white.lazycat.app.pvpgn-war3,https://dl.lazycat.cloud/appstore/metarepo/apps/white.lazycat.app.pvpgn-war3/icon.png,pvpgn-war3,魔兽争霸3冰封王座 (Warcraft III: Frozen Throne) pvpgn战网服务器,2
https://lazycat.cloud/appstore/detail/white.lazycat.app.sunkenland,https://dl.lazycat.cloud/appstore/metarepo/apps/white.lazycat.app.sunkenland/icon.png,sunkenland,沉没之地 (Sunkenland) 游戏服务器,2
https://lazycat.cloud/appstore/detail/chestnut.app.mullvad,https://dl.lazycat.cloud/appstore/metarepo/apps/chestnut.app.mullvad/icon.png,Mullvad Broswer 隐私浏览器,Mullvad 浏览器是一款注重隐私的 Web 浏览器，由 Mullvad VPN 和 Tor   项目合作开发。它旨在最大限度地减少跟踪和指纹识别。你可以说它是一个没有 Tor 网络的 Tor 浏览器。相反，您可以将其与值得信赖的 VPN 一起使用。,2
https://lazycat.cloud/appstore/detail/chestnut.app.blender,https://dl.lazycat.cloud/appstore/metarepo/apps/chestnut.app.blender/icon.png,Blender,Blender 是一个免费的开源 3D 计算机图形软件工具集，用于创建动画电影、视觉效果、艺术、3D 打印模型、动态图形、交互式 3D 应用程序、虚拟现实和计算机游戏。,2
https://lazycat.cloud/appstore/detail/white.lazycat.app.asa,https://dl.lazycat.cloud/appstore/metarepo/apps/white.lazycat.app.asa/icon.png,asa,方舟: 生存飞升(Ark: Survival Ascended) 游戏服务器,2
https://lazycat.cloud/appstore/detail/com.felipefialho.piano,https://dl.lazycat.cloud/appstore/metarepo/apps/com.felipefialho.piano/icon.png,钢琴键盘,使用CSS和JavaScript制作的在线钢琴键盘，支持鼠标点击、键盘按键和触摸操作,2
https://lazycat.cloud/appstore/detail/white.lazycat.app.satisfactory,https://dl.lazycat.cloud/appstore/metarepo/apps/white.lazycat.app.satisfactory/icon.png,satisfactory,幸福工厂 (Satisfactory) 游戏服务器,2
